"biography","birthday","deathday","gender","name","place_of_birth","facebook_likes"
"From Wikipedia, the free encyclopedia.

Michael Wadleigh (born September 24, 1942) is an American movie director and cinematographer renowned for his groundbreaking documentary of the 1969 Woodstock Festival, Woodstock.

A native of Akron, Ohio, Wadleigh entered films in his early twenties as a cinematographer on independently-produced low-budget films David Holtzman's Diary and I Call First (both 1967), and My Girlfriend's Wedding (1969). Billed as Michael Wadley, he gained notice for his work from critics who followed independent and underground films, but the films, primarily aimed at a specialized and counterculture audience, brought him no financial success.

In April-May 1969, Wadleigh undertook the monumental task of documenting the rock music festival scheduled in the vicinity of Woodstock, New York on August 15-18. He arrived on the site in Bethel with over a thousand reels of film and a crew of several camera operators. The finished product was said to have consisted of about 120 miles of footage which, over the next months, was edited down to 184 minutes. Warner Brothers, the film's primary financial backer, released it on March 26, 1970.

The film, which reportedly cost $600,000 to produce, earned over $50 million in the United States and more millions from foreign rentals, but due to a complicated arrangement with Warner Brothers, Wadleigh received only a small percentage of the profits. Woodstock stands as a milestone in the documentary film field, receiving an Academy Award for Documentary Feature at the 1971 ceremony.

Janis, a 1974 documentary about Janis Joplin, gave Wadleigh credit as cinematographer for his archive footage, but it would be eleven years after the release of Woodstock before he received his next and, last to date, directorial credit. Wolfen, a unique 1981 horror phantasmagoria based on the novel by Whitley Strieber, was praised for its dreamlike nature and striking visual quality, but despite a top-notch star turn from Albert Finney, turned out to have been too offbeat for the general public to achieve financial success. Wadleigh also wrote the Wolfen screenplay and has a bit part as ""Terrorist Informer.""

In August 1994, twenty-four years after its original showing, a 228-minute ""director's cut"" of Woodstock was released, and in 1999, another Woodstock-based documentary, Jimi Hendrix: Live at Woodstock gave Wadleigh another archive footage credit for cinematography.

Description above from the Wikipedia article Michael Wadleigh, licensed under CC-BY-SA, full list of contributors on Wikipedia.","1939-09-24",,2,"Michael Wadleigh","Akron, Ohio, USA",14.0
"",,,0,"Gene Teigland",,0.0
"From Wikipedia, the free encyclopedia.  Scott Ziehl is an American film director. He has directed numerous films from 1998 to now.

Description above from the Wikipedia article Scott Ziehl, licensed under CC-BY-SA, full list of contributors on Wikipedia.",,,2,"Scott Ziehl",,4.0
"",,,2,"Richard Montoya",,12.0
"",,,0,"Johanna Schwartz",,0.0
"",,,0,"William Gazecki",,3.0
"",,,0,"Lance McDaniel",,0.0
"",,,0,"Thomas Lilti",,12.0
"",,,2,"Michael Walker",,5.0
"",,,0,"U. Roberto Romano",,6.0
"",,,1,"Amy Holden Jones",,11.0
"",,,0,"Pan Nalin",,95.0
"From Wikipedia, the free encyclopedia.

Joe Camp (born April 20, 1939 in St. Louis, Missouri) is a motion picture director and writer. He is best known as the creator and director of the Benji films. He currently resides in Bell Buckle, Tennessee with his wife Kathleen. They also own property in Valley Center, California.

Camp is also known for his work with horses. He owns, and has trained, five horses who live with him at his Valley Center Ranch. He has written a book about his experiences with horses, The Soul of a Horse.

Description above from the Wikipedia article Joe Camp, licensed under CC-BY-SA, full list of contributors on Wikipedia","1939-04-20",,2,"Joe Camp","Saint Louis, Missouri, USA",24.0
"Matthew Paul ""Matt"" Walsh  (born October 13, 1964) is an American actor, comedian, director, and writer best known as a founding member of the  Upright Citizens Brigade  improvisational sketch comedy troupe and currently for co-starring as Mike McLintock on theHBO  comedy series  Veep. He also previously starred in short-lived comedy programs such as  Dog Bites Manon  Comedy Central  and  Players  on  Spike TV.","1964-10-13",,2,"Matt Walsh","Chicago - Illinois - USA",490.0
"",,,0,"John 'Bud' Cardos",,8.0
"",,,1,"Marilyn Agrelo",,2.0
"",,,2,"Brian Baugh",,3.0
"From Wikipedia, the free encyclopedia

Patrick Creadon (born May 1, 1967) is an American documentary filmmaker, best known for the documentary film Wordplay. A profile of New York Times crossword editor Will Shortz, Wordplay premiered at the 2006 Sundance Film Festival and became the second-highest grossing documentary of that year. His second film, I.O.U.S.A., an examination of America's debt problem which forecast the global financial crisis of 2008-2009, premiered at the 2008 Sundance Film Festival and was later named one of film critic Roger Ebert's Top 5 documentaries of the year. Since 2006, Creadon is one of only three filmmakers to release multiple films that were ranked within the Top 100 highest-grossing documentaries of all time. The other two filmmakers are Michael Moore (Sicko, Capitalism: A Love Story) and Davis Guggenheim (An Inconvenient Truth, It Might Get Loud, and Waiting for 'Superman' ).

Description above from the Wikipedia article Patrick Creadon, licensed under CC-BY-SA, full list of contributors on Wikipedia.","1967-05-01",,2,"Patrick Creadon","Chicago, Illinois, USA",3.0
"",,,2,"Barry W. Blaustein",,6.0
"",,,2,"Kurt Hale",,0.0
"From Wikipedia, the free encyclopedia

Siddiq Barmak (Born September 7, 1962) in Panjshir, Afghanistan, is a film director and producer. He received an M.A degree in cinema direction from the Moscow Film Institute (VGIK) in 1987.

He has written a few screenplays and has made a few short films. His first feature film Osama, won the Golden Globe for Best Foreign Language Film in 2004.

There is a stylistic echo in Osama featured in Afghan films by the Iranian Makhmalbaf dynasty; father Mohsen's Kandahar, and daughter Samira Makhmalbaf's At Five in the Afternoon, the latter also shot in post-Taliban Kabul. Barmak directed Osama with significant funding and assistance from the elder Makhmalbaf. The Iranian director invested thousands of dollars in the film, lending Barmak his Arriflex camera and encouraging him to send the movie to international festivals, which eventually generated further funding from Japanese and Irish producers. Barmak received ""UNESCO   s Fellini Silver Medal"" for his drama, Osama, in 2003.

Barmak is also director of the Afghan Children Education Movement (ACEM), an association that promotes literacy, culture and the arts, which was also founded by Makhmalbaf. The school trains actors and directors for newly emerging Afghan cinema. Barmak is one of the celebrated figures in Persian cinema as well as the emerging cinema of Afghanistan.

Description above from the Wikipedia article Siddiq Barmak, licensed under CC-BY-SA, full list of contributors on Wikipedia.","1962-09-07",,0,"Siddiq Barmak","Panjshir, Afghanistan",6.0
"",,,0,"Joseph Dorman",,0.0
"From Wikipedia, the free encyclopedia.   

Greg Harrison (born May 4, 1969 in Michigan) is an American film director and editor.

He graduated from Michigan State University.

He has directed films such as Groove (2000) and November (2004), both of which were produced by Danielle Renfrew.

Description above from the Wikipedia article  Greg Harrison,    licensed under CC-BY-SA, full list of contributors on Wikipedia.","1969-05-04",,2,"Greg Harrison","Michigan, USA",7.0
"","1972-09-06",,0,"Jacob Aaron Estes","Tulare County, California, USA",9.0
"From Wikipedia, the free encyclopedia.

Eric Schaeffer (born January 22, 1962) is an American actor, writer and director.

Description above from the Wikipedia article Eric Schaeffer, licensed under CC-BY-SA, full list of contributors on Wikipedia.","1962-01-22",,2,"Eric Schaeffer","New York City, New York, U.S.",71.0
"","1949-12-14",,1,"Neema Barnette",,21.0
"Joe Swanberg (born August 31, 1981) is an American independent filmmaker. He is a member of the ""Mumblecore"" movement. His films include Kissing on the Mouth (2005), LOL (2006), Hannah Takes the Stairs (2007), Nights and Weekends (2008) and Alexander the Last (2009). He is also responsible for the Nerve.com online series Young American Bodies and has made numerous shorts, most of which are available online. He attended Southern Illinois University at Carbondale as a film major, earning a Bachelor's Degree in 2003.

Swanberg is also a noted proponent for Internet-based distribution for independent films.

Description above from the Wikipedia article Joe Swanberg, licensed under CC-BY-SA, full list of contributors on Wikipedia","1981-08-31",,0,"Joe Swanberg","Detroit, Michigan, USA",217.0
"",,,0,"Molly Bernstein",,0.0
"",,,0,"Marius A. Markevicius",,6.0
"From Wikipedia, the free encyclopedia

Thomas A. ""Tom"" DiCillo (born August 14, 1953) is an American film director, screenwriter and cinematographer.","1953-08-14",,2,"Tom DiCillo","Camp LeJeune - North Carolina - USA",32.0
"From Wikipedia, the free encyclopedia

Mr. Oizo, a pseudonym of French record producer and film director Quentin Dupieux, is a successful French techno musician, mostly known for his 1999 track, ""Flat Beat"". His pseudonym is a corruption of the French oiseau, meaning ""bird"". He is currently signed to French electro record label, Ed Banger Records.

Dupieux created a number of music videos and feature films, starting with the 1997 music video ""Kirk"". He not only directs his productions, he is usually also writer, editor, composer and cinematographer.

Dupieux's second feature film Steak was released in France on 20 June 2007.

Filming for the absurdist thriller Rubber began in 2009. The electronic music duo Justice stated that they would be working on the soundtrack for Rubber, saying they had to 'finish working on the soundtrack for Mr. Oizo's new film before we start recording for the new album'. However, only Gaspard Aug   of the duo collaborated with Dupieux on the soundtrack. The film had a United States Video on Demand release.

The surreal comedy Wrong premiered at the Sundance Film Festival in 2012.

The comedy Wrong Cops was produced by Realitism Films, who describe it as ""a filthy 90 minute comedy about some disturbed cops. It is not a sequel to Wrong."" The first thirteen-minute chapter of the film premiered at the 2012 Cannes Film Festival.

Description above from the Wikipedia article Mr. Oizo, licensed under CC-BY-SA, full list of contributors on Wikipedia.","1974-04-14",,0,"Quentin Dupieux","France",248.0
"",,,2,"Alex Smith",,12.0
"British film director Gareth Edwards is best known for directing the 2010 indie motion picture Monsters.

Although, Monsters was Gareth   s first feature film, it was not his first time working in the film industry.  Gareth began his career in special effects, creating digital effects for prestigious shows such as Attila the Hun for which he won international recognition. Determined to pursue his dreams, he entered SCI-FI-London the Film Challenge 48 where he had to make a movie with 1 actor, two days, and the smallest number of elements. He won the contest and the opportunity to direct his first feature film, Monsters.",,,2,"Gareth Edwards","Nuneaton, United Kingdom",380.0
"",,,2,"Jonathan Parker",,0.0
"",,,0,"Sol Tryon",,0.0
"Alex Craig Mann is an actor and director.",,,2,"Alex Craig Mann",,38.0
"From Wikipedia, the free encyclopedia.   

Stephen Kijak is an American filmmaker.Kijak studied with renowned film scholar and John Cassavetes expert Ray Carney as well as the late Mel Howard at Boston University   s College of Communication. He wrote, directed and produced the feature film Never Met Picasso (1996) which starred Margot Kidder, Alexis Arquette and Don McKellar (music by Kristin Hersh). It won awards for both Best Screenplay and Best Actor (for Arquette) at the 1997 Outfest film festival.

Kijak followed that with Cinemania (2002) (co-directing and co-producing with German filmmaker Angela Christlieb), a documentary about five of the most manic-obsessive film-buffs in NYC. The film won the Golden Starfish Jury Award for Best Documentary at the 2002 Hamptons International Film Festival.

His next film was a documentary on musician Scott Walker. The film, titled Scott Walker: 30 Century Man is executive produced by David Bowie and features artists including Radiohead, Brian Eno, Sting, Damon Albarn and Jarvis Cocker and provides a look inside Scott Walker   s creative process over a 40 year career. The film had its world premiere on October 31, 2006 at the 50th London Film Festival and premiered internationally at the 2007 Berlin International Film Festival in the Panorama.

In television, Kijak has directed episodes of the Bravo original series Queer Eye and the Sundance Channel's ""Big Ideas for a Small Planet"".

""Stones in Exile"", a film he directed that was commissioned by The Rolling Stones to tell the story of the making of their classic 1972 album ""Exile on Main St."" had its world premiere at the 2010 Directors' Fortnight in Cannes, followed by broadcast premieres on BBC1's ""Imagine"" and on a special edition of Late Night with Jimmy Fallon on NBC.

Description above from the Wikipedia article  Stephen Kijak, licensed under CC-BY-SA, full list of contributors on Wikipedia.",,,2,"Stephen Kijak",,3.0
